393,392,386,373,378,395,419,401,378,392,361,372,375,379,398,418,420,414,396,372,367,361,374,384,394,393,398,400,392,388,389,391,384,388,389,394,386,389,390,389,390,387,386,385,389,388,389,392,389,389,390,390,389,390,389,388,389,389,389,389,388,388,388,388,388,387,387,388,388,388,388,387,388,388,388,388,388,389,389,389,388,388,389,388,387,388,388,388,388,388,388,389,389,389,389,389,389,389,389,390,389,389,389,389,388,389,389,389,388,389,389,389,388,389,389,390,389,390,390,390,390,390,390,389,389,389,389,389,389,389,389,389,389,389,389,389,389,390,389,389,389,389,389,389,389,389,389,389,389,389,388,389,389,389,389,389,390,390,390,390,390,390,391,390,391,390,390,390,390,390,390,390,390,390,390,390,391,391,390,391,390,391,390,391,390,390,391,390,390,390,390,390,389,389,389,390,389,390,390,390,390,391,390,390,391,391,391,390,391,391,390,390,390,389,388,389,389,389,389,389,389,389,389,388,389,389,389,389,389,389,389,389,389,389,389,389,389,389,388,388,389,389,389,389,389,389,389,389,390,389,389,389,389,390,389,390,390,390,390,390,390,390,391,391,390,391,390,391,391,391,391,391,390,390,390,391,391,391,390,390,390,390,390,390,390,390,390,390,390,391,390,391,391,390,390,390,390,390,391,391,391,390,390,390,390,390,390,389,390,389,390,390,390,390,391,391,390,391,391,391,391,391,391,391,391,391,390,391,391,391,391,391,391,391,391,391,391,390,390,391,390,391,390,390,390,391,390,391,391,391,391,391,391,391,391,391,391,392,391,391,391,391,391,389,391,390,391,391,391,391,391,391,391,391,391,391,391,391,392,392,391,392,392,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,392,392,392,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,390,391,391,391,392,392,391,392,391,390,391,391,390,390,390,391,390,390,390,390,390,390,390,391,390,391,391,391,391,391,391,390,390,390,390,390,390,390,390,390,391,391,391,391,391,391,391,390,390,390,391,391,391,391,391,391,391,390,390,390,390,390,390,390,390,391,390,391,391,391,391,391,391,391,390,391,391,391,391,391,391,390,390,390,390,390,390,391,390,390,391,391,390,391,391,390,390,390,390,391,390,391,391,390,390,391,391,391,391,391,391,391,391,390,391,390,390,390,390,390,391,391,391,391,391,391,391,391,391,391,391,391,391,391,392,391,391,391,391,392,391,391,391,391,391,391,391,390,391,391,390,391,390,391,390,390,390,390,389,390,389,390,390,391,391,391,391,390,390,391,390,390,390,390,391,390,390,390,391,391,390,390,390	c
387,392,394,389,393,398,407,396,398,380,392,355,385,428,378,401,374,391,431,393,405,402,382,378,378,390,387,396,393,388,392,389,391,391,391,391,393,391,389,392,391,392,390,391,390,392,390,390,390,390,391,390,391,392,391,391,392,391,392,391,391,391,391,391,391,391,391,391,391,391,391,390,390,391,391,391,391,391,391,391,391,391,392,392,392,392,391,391,391,392,392,391,391,391,391,391,391,391,391,392,392,392,391,392,392,393,393,392,392,392,392,392,393,392,392,391,392,392,392,393,393,393,393,392,392,391,392,391,392,391,391,391,391,391,392,392,392,392,392,392,392,392,392,392,391,392,392,392,392,393,393,393,393,392,393,392,392,393,393,392,392,392,392,392,392,392,392,392,392,392,392,391,392,392,392,392,391,392,392,392,392,393,393,392,392,392,392,392,392,392,392,392,392,392,392,392,393,392,392,392,392,393,392,392,392,391,391,391,391,392,392,392,392,390,391,391,392,392,392,391,391,392,391,391,392,391,391,391,392,391,392,392,391,391,392,392,392,392,393,392,392,392,392,392,392,391,392,392,392,392,392,392,392,393,393,393,393,392,392,393,393,393,393,393,393,393,393,393,393,393,393,393,392,393,393,394,394,393,393,393,393,393,393,393,393,392,392,392,392,392,392,393,391,391,392,392,392,392,392,392,392,392,392,392,392,392,391,391,391,392,391,391,392,391,391,391,391,391,391,391,391,391,391,391,391,391,392,392,391,390,391,391,391,392,392,392,391,391,391,391,391,391,391,392,391,392,392,393,392,393,393,392,392,392,392,392,392,392,392,392,392,392,393,392,391,391,391,391,392,392,392,391,392,392,392,393,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,393,392,392,392,392,391,392,392,392,392,392,392,392,392,392,392,392,392,392,392,393,393,393,393,392,393,392,392,393,393,393,392,392,392,392,392,393,393,393,392,392,392,392,393,393,392,392,392,392,392,392,392,392,392,392,392,392,392,393,393,393,392,392,391,392,393,393,392,392,392,392,392,392,392,392,392,391,392,392,391,392,392,392,392,392,392,392,392,391,392,392,391,392,392,393,392,392,392,392,392,392,392,393,393,393,393,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,393,393,392,393,392,393,392,392,392,392,392,392,392,392,392,393,392,393,393,392,393,392,392,393,393,393,392,392,392,392,392,392,393,392,392,392,392,391,392,392,392,392,392,392,392,392,392,393,393,393,392,392,391,392,392,391,392,392,391,392,392,392,391,392,391,391,390,391,392,392,392,392,392,392,391,391	c
386,384,376,379,413,384,395,388,353,385,383,463,501,436,465,399,261,345,350,333,428,410,452,399,405,392,400,396,393,383,388,400,403,387,396,389,392,395,395,391,388,393,392,390,394,390,393,387,388,391,392,391,391,390,391,391,390,390,391,393,391,391,391,390,391,392,391,391,391,392,391,391,391,392,391,391,391,391,390,391,391,391,390,390,390,390,391,391,391,391,391,391,391,391,391,391,391,390,390,390,390,391,391,391,390,391,391,391,391,391,392,391,391,391,391,391,391,391,391,391,390,391,391,391,391,390,389,390,390,390,390,391,391,389,390,390,391,391,391,391,391,391,391,391,390,390,390,390,391,391,391,391,391,391,390,391,390,390,391,391,391,391,391,391,391,391,391,391,392,391,392,391,391,391,391,391,391,391,391,392,391,391,391,391,392,392,392,392,392,392,392,392,391,391,391,392,391,391,391,392,392,392,392,392,392,392,391,392,391,391,391,391,392,391,391,391,391,390,391,391,391,391,391,391,391,392,391,391,392,392,392,392,392,392,392,392,391,391,391,391,391,391,390,391,391,391,392,392,391,391,392,392,392,392,392,392,392,391,391,390,391,391,391,391,391,391,391,392,392,392,392,391,391,391,392,391,392,392,392,392,391,391,391,391,391,391,391,391,392,391,391,392,392,392,392,392,391,392,391,391,392,391,391,391,391,391,392,392,391,391,391,391,391,392,392,391,392,392,391,391,391,391,391,390,391,391,391,391,391,391,391,391,391,391,391,392,392,393,391,392,392,392,392,392,392,392,393,392,392,391,392,392,392,392,392,392,393,393,393,393,393,393,392,392,392,391,392,392,391,391,391,391,391,392,391,391,392,392,392,392,392,392,392,392,392,392,391,392,392,392,392,392,392,392,391,391,391,391,391,391,391,391,391,391,391,391,392,391,391,391,391,391,392,391,391,391,392,391,391,392,391,392,391,391,391,392,392,391,392,391,391,391,391,391,391,392,391,391,391,391,391,392,391,392,393,392,392,393,393,392,391,392,392,392,392,392,391,392,392,392,392,391,392,392,392,392,391,392,392,392,392,392,392,392,392,391,392,392,392,391,391,391,391,392,392,392,391,391,391,392,392,392,392,392,392,392,392,392,392,392,391,392,392,391,392,391,391,391,391,392,391,392,392,392,391,392,390,392,392,391,392,392,392,392,391,391,391,391,392,392,392,391,392,391,392,392,391,392,391,392,392,392,391,391,391,392,392,391,390,391,392,391,391,391,392,391,391,391,391,392,392,392,392,391,392,392,392,392,392,393,392,392,392,392,392,392,392,392,391,392,392,392,392,393,392,392,392,392,392,391,391,391,391,391,391,391,391,392,391	c
396,398,426,422,433,404,419,379,359,419,379,381,401,396,392,387,401,395,384,399,396,389,395,396,391,394,394,393,393,394,393,392,393,393,393,393,392,393,394,392,393,394,394,394,393,392,393,393,393,393,393,393,393,393,393,393,393,393,393,393,394,394,393,394,394,393,393,392,393,393,393,392,392,392,392,393,392,392,392,392,392,392,392,392,392,392,392,392,391,392,391,392,392,391,391,391,391,392,392,392,392,392,392,392,392,392,392,392,393,392,392,392,392,392,392,392,392,392,392,391,391,392,392,392,392,392,392,392,392,392,391,391,391,392,391,391,391,391,391,392,391,392,391,392,392,392,392,392,392,392,392,391,392,392,392,392,392,392,392,391,392,392,392,392,393,392,392,392,392,392,392,392,392,392,391,392,393,392,392,392,391,392,392,392,391,392,392,392,392,393,392,392,392,392,391,392,392,391,392,391,391,392,391,392,391,391,390,391,391,391,391,391,391,392,391,391,391,391,391,392,392,392,392,392,393,392,392,392,392,392,392,392,391,391,392,391,392,391,392,391,392,391,391,391,391,390,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,390,391,391,391,391,391,390,391,391,391,391,391,391,391,391,390,390,389,390,389,389,390,390,390,390,390,391,391,391,391,391,391,391,392,391,391,391,391,390,391,390,391,391,390,391,391,391,391,391,391,391,391,391,391,391,392,391,392,391,391,391,391,391,391,390,391,391,391,391,390,391,391,391,391,390,391,391,391,391,391,391,391,391,391,391,392,391,391,391,391,392,392,391,391,391,391,391,391,391,391,391,391,391,391,391,390,390,391,390,391,391,390,391,391,391,391,391,390,390,391,390,390,390,390,390,391,391,391,391,391,391,391,391,390,391,391,390,390,391,391,391,391,390,390,391,390,391,391,390,391,391,391,391,390,391,391,390,391,390,391,390,391,391,391,391,391,391,391,392,391,391,391,391,392,391,391,391,391,391,391,391,390,391,390,390,389,390,389,389,390,391,390,391,391,391,390,391,392,392,392,392,391,392,391,391,391,391,391,391,391,390,390,390,390,390,390,391,390,390,390,390,391,390,390,391,390,391,390,390,389,389,388,389,388,389,389,389,389,390,390,390,391,391,392,390,390,391,391,391,391,391,391,390,391,391,391,390,390,389,389,390,389,390,390,390,390,390,391,391,391,392,391,391,391,392,391,391,390,391,390,390,390,390,390,390,390,390,390,390,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,390,390,390,391,391,391,391,391,391,391,391,391,391,392,392,391,391,391,391,392,392,392,391,391,391	y
389,393,412,337,448,375,357,456,335,401,394,385,396,372,415,382,391,391,391,386,396,392,386,392,390,392,390,387,390,394,387,397,390,390,391,394,391,395,391,389,390,392,392,391,389,389,391,389,391,392,392,391,391,391,390,391,391,391,392,391,390,391,390,391,391,390,390,390,389,389,390,390,390,391,390,390,389,389,389,390,390,390,390,390,390,390,390,389,389,390,389,389,390,390,389,389,388,389,389,389,389,389,389,389,389,390,390,390,390,390,389,390,390,390,390,390,389,390,390,390,391,390,391,390,390,391,391,391,391,391,390,390,391,390,391,391,390,391,390,390,390,391,390,390,389,388,389,389,389,390,389,390,390,390,389,390,391,391,390,391,391,390,390,390,390,390,391,390,390,390,390,390,390,390,391,390,391,391,391,391,391,391,391,390,391,391,391,391,390,391,390,391,391,391,390,390,390,390,391,391,391,391,392,392,392,391,391,392,392,392,392,392,392,391,391,391,392,391,392,391,391,391,391,391,391,391,391,392,391,392,392,393,392,392,393,391,392,392,392,392,392,393,392,392,392,392,392,392,392,391,392,391,391,391,392,392,392,392,391,391,391,392,392,392,392,391,391,390,391,391,391,391,391,391,390,391,391,391,391,391,390,390,390,391,391,391,391,391,391,390,390,391,391,391,391,391,392,391,391,392,392,391,392,391,392,391,391,391,392,392,391,391,390,392,391,391,391,391,391,391,391,391,391,390,391,391,391,391,391,391,391,391,392,391,391,391,392,392,392,392,391,391,391,391,392,391,391,392,392,392,392,392,391,392,392,392,392,391,391,392,392,392,392,392,392,392,392,392,392,393,392,391,391,392,392,392,392,391,391,391,391,392,392,392,392,392,392,392,392,392,392,392,392,391,391,392,392,391,392,391,391,391,392,392,392,392,392,391,392,392,392,393,392,392,392,392,392,392,391,391,392,392,391,391,391,390,391,391,391,391,391,392,391,390,391,390,391,392,391,391,390,391,391,391,391,390,391,391,391,391,390,391,391,392,391,391,391,391,392,391,390,391,392,391,391,391,390,390,390,391,391,391,391,391,391,391,391,391,392,392,392,392,392,392,392,392,391,392,392,391,390,391,391,391,391,391,391,390,391,391,390,391,391,392,392,391,391,392,392,392,391,391,391,392,392,391,392,392,391,391,391,391,391,392,391,390,391,392,392,392,391,392,392,393,393,393,393,393,393,392,393,392,393,392,391,392,391,391,392,392,392,391,391,391,392,392,391,391,391,392,392,391,392,391,391,391,391,391,391,392,391,391,392,391,390,391,391,391,392,392,392,392,392,392,392,392,392,392,392,391,391,391,391,391,392,392,392,391,391	y
391,393,404,382,385,402,383,382,395,400,389,386,396,399,387,388,395,390,392,394,388,394,397,387,392,391,392,391,390,390,391,391,391,391,391,391,392,390,391,391,390,391,391,391,391,390,391,391,391,391,392,391,391,392,392,391,391,391,391,391,391,391,392,391,391,391,391,391,391,391,390,391,391,391,391,391,391,391,391,391,390,391,391,391,391,391,391,392,392,392,391,391,392,391,391,391,391,391,391,391,391,392,391,391,391,391,391,391,391,391,390,389,390,390,390,391,391,391,391,390,390,390,390,391,391,391,390,391,390,391,391,391,391,392,391,392,392,392,392,392,392,391,392,391,391,391,391,391,391,391,392,392,392,392,391,392,391,392,392,392,392,393,393,393,393,392,393,392,392,392,392,393,392,393,392,392,392,392,392,391,392,391,392,392,392,392,392,392,392,392,392,392,392,391,391,391,392,391,391,391,392,392,392,392,392,392,392,392,392,392,391,391,391,391,391,391,390,391,390,390,391,390,391,390,391,390,390,391,390,390,390,390,390,391,391,391,391,391,390,391,391,390,391,391,391,391,391,392,391,392,392,392,392,392,393,393,393,393,393,393,393,393,393,392,393,392,393,393,393,393,392,392,392,391,393,393,394,393,392,393,393,393,393,393,393,393,393,393,393,392,393,393,393,392,391,392,392,392,392,392,392,392,392,392,392,392,392,392,391,392,392,392,392,392,391,392,392,392,392,392,391,391,391,392,392,391,392,392,392,392,392,393,392,392,392,392,393,392,393,393,392,392,391,392,392,392,393,392,393,392,392,393,393,392,392,392,392,393,393,393,393,394,393,393,392,392,393,392,393,392,392,392,392,392,393,393,393,392,392,393,393,393,393,393,392,393,393,393,393,393,393,392,391,393,392,392,393,392,392,391,393,393,393,393,392,392,391,392,392,392,392,391,391,392,391,392,391,391,390,390,391,391,391,392,392,392,391,391,391,392,392,392,393,392,391,392,393,392,392,392,392,392,392,393,393,393,392,392,392,393,393,393,393,392,392,393,393,393,392,393,392,393,393,393,392,392,391,392,392,392,393,392,392,392,392,392,392,393,392,391,391,391,391,392,392,392,391,391,391,392,392,393,392,391,391,393,393,393,393,394,393,392,391,392,392,392,392,392,391,391,391,391,391,392,391,392,391,391,392,393,393,391,392,392,392,392,393,392,392,391,392,392,392,393,391,391,391,392,391,391,392,392,392,391,392,392,393,393,392,392,392,392,393,392,392,392,391,391,392,391,391,391,390,391,391,391,391,390,391,391,391,391,391,391,391,392,391,390,390,391,390,391,389,391,390,390,391,391,391,391,391,391,390,391,391,391,392,392,392	y
390,388,417,433,251,445,409,252,403,461,383,375,429,402,365,392,413,379,393,402,395,389,387,397,390,390,390,384,385,389,392,393,393,392,391,391,390,391,390,391,394,393,391,392,390,391,392,391,392,391,392,392,393,392,391,390,392,391,391,391,391,391,392,392,393,392,392,392,393,393,393,392,392,392,392,391,392,392,393,393,392,393,392,392,392,392,393,393,392,392,392,392,392,392,392,392,392,391,391,390,391,390,391,391,391,391,391,391,390,391,391,391,391,391,392,392,392,391,390,390,390,390,390,390,390,391,390,391,391,391,391,391,392,391,392,392,391,392,391,392,392,392,391,391,391,390,390,389,390,390,390,390,389,390,391,391,391,391,391,391,391,391,391,392,391,391,391,391,390,391,391,390,391,391,391,391,391,391,391,392,392,392,392,393,393,392,392,391,392,391,392,391,391,391,390,390,390,390,391,391,391,391,391,391,391,390,391,391,392,392,391,391,392,391,391,391,391,391,391,390,390,390,390,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,390,391,391,390,390,390,391,391,391,391,391,391,392,391,391,391,391,391,391,391,390,391,391,391,391,391,391,391,391,391,391,391,391,391,391,390,391,391,391,391,391,391,391,392,391,391,391,391,391,390,391,391,391,391,391,390,391,390,390,390,390,390,390,390,391,391,391,391,391,390,391,390,390,389,390,390,390,390,389,390,390,391,391,390,390,391,391,391,391,391,391,391,390,391,390,391,391,391,391,390,390,390,390,389,390,388,389,390,390,390,391,390,390,390,390,390,390,390,389,390,389,389,389,388,389,389,388,389,389,389,389,388,388,388,389,389,389,390,390,390,390,389,390,390,390,390,389,389,390,389,389,390,389,389,390,390,389,390,390,390,390,391,391,390,391,391,391,391,391,391,390,390,390,390,390,390,389,389,389,389,390,390,390,390,390,390,391,391,391,391,391,390,390,390,390,388,390,389,389,389,389,389,389,389,388,389,388,390,389,389,389,389,390,390,390,390,391,390,390,389,389,389,389,390,389,388,389,389,390,390,390,390,390,390,390,389,391,391,390,390,390,390,390,390,390,390,390,389,389,390,391,391,391,391,390,391,391,391,391,391,391,390,390,390,390,390,389,389,389,389,390,390,390,390,390,390,390,390,391,390,390,390,390,391,390,390,390,390,390,391,391,392,391,391,391,391,391,391,392,391,391,391,391,391,392,391,391,391,391,390,391,391,391,391,391,391,390,390,391,389,391,390,391,391,390,391,390,391,390,390,390,390,390,390,390,391,390,391,390,389,390,390,390,390,390,390,389,390,390,391,391,391,391,391,391,391,391,390,391,391	y
392,390,400,397,395,401,403,401,401,394,392,387,379,381,373,402,387,403,375,421,386,398,387,394,397,392,401,394,395,389,391,392,394,389,387,394,392,393,392,392,392,393,392,391,392,391,393,392,391,392,391,391,392,392,391,392,391,390,391,391,392,392,392,391,391,391,391,391,391,390,391,391,390,390,390,390,390,390,390,391,390,391,390,390,391,391,392,392,392,392,392,392,393,392,392,393,393,391,391,391,392,392,392,391,391,392,391,391,391,391,391,391,392,392,391,391,391,391,391,391,391,391,391,391,392,391,390,391,391,392,392,391,392,391,391,391,392,391,391,392,392,392,392,392,392,392,392,391,391,392,392,393,392,392,391,392,392,392,392,392,392,391,391,392,391,392,391,392,391,392,392,392,393,392,392,392,392,392,392,392,392,392,392,392,392,392,392,391,392,392,392,391,391,392,390,391,391,391,391,392,392,391,392,392,392,392,392,392,391,391,390,391,392,392,392,392,392,392,392,392,393,392,392,392,391,392,392,392,393,392,393,392,392,393,393,393,393,392,393,393,393,393,392,392,392,391,391,391,391,391,391,391,391,391,391,392,392,392,392,391,392,392,392,391,391,391,391,391,392,392,392,392,392,391,391,391,391,390,391,390,391,391,391,391,392,391,390,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,392,391,391,391,390,391,390,391,390,389,390,390,390,390,390,390,390,390,390,390,390,391,390,390,390,390,389,391,390,390,390,389,390,390,390,389,389,390,389,389,389,388,390,389,390,390,390,389,389,390,389,389,390,390,389,390,390,389,390,391,391,391,391,391,390,391,391,391,391,391,391,391,391,391,391,391,391,391,390,391,391,391,391,392,392,392,391,392,392,392,392,392,392,391,391,391,391,392,391,392,391,391,391,391,391,391,391,392,391,392,391,391,391,391,391,391,391,391,392,391,391,391,391,391,391,391,392,391,391,392,392,392,392,392,392,391,391,391,391,392,392,391,391,391,391,391,392,391,391,391,391,391,391,392,392,392,392,392,391,391,393,392,392,392,393,392,391,392,392,392,392,392,392,392,392,392,392,391,391,391,391,391,392,392,391,391,391,391,392,391,391,391,391,392,392,392,392,392,392,392,391,391,392,392,392,392,392,392,392,392,392,392,392,392,392,391,392,392,391,390,391,390,391,391,391,391,390,391,391,391,392,391,392,392,391,392,392,392,392,392,393,392,391,391,391,391,391,391,392,390,391,391,391,391,391,391,391,391,392,392,391,391,391,391,391,391,390,391,390,390,390,391,391,391,391,391,390,391,391,391,391,391,391,391,391,391,391,391,390,390,390,390,391,391,390,390,390	c
400,405,397,402,399,403,400,387,394,387,386,404,399,377,407,392,380,387,391,396,387,394,398,397,387,392,399,394,392,394,392,394,391,392,393,392,391,392,391,391,391,391,391,391,392,391,392,393,393,392,392,394,393,392,391,392,392,393,392,392,392,391,392,392,391,391,391,392,392,392,392,392,392,392,392,392,392,391,391,392,392,392,392,391,391,392,391,392,391,391,391,391,391,391,392,392,391,391,390,390,391,391,391,390,391,390,390,390,390,390,390,390,390,390,391,391,391,391,391,391,391,392,392,391,392,392,392,391,392,392,391,391,392,391,391,391,391,391,391,391,391,391,391,391,391,391,392,392,392,391,391,391,392,391,391,392,390,391,391,392,391,391,391,390,391,390,391,391,391,392,392,392,392,391,391,391,391,392,392,392,392,392,392,391,391,391,391,391,390,391,391,391,391,390,391,391,391,391,391,391,391,391,392,391,392,391,391,390,391,390,391,391,391,391,391,392,392,392,391,392,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,390,390,390,391,390,391,391,391,392,392,391,391,392,392,391,392,392,392,392,392,391,391,391,391,391,391,390,390,391,390,391,391,391,392,391,391,391,391,391,391,390,391,392,391,391,391,392,391,391,391,391,391,391,391,390,391,392,391,391,391,391,392,392,392,392,392,392,392,391,391,391,391,392,392,392,392,391,392,392,392,391,392,391,391,391,391,391,392,391,392,391,391,391,391,391,391,392,392,391,391,391,391,391,392,391,391,392,391,391,392,391,391,391,392,391,391,390,391,390,391,390,390,389,390,390,390,391,390,391,391,392,391,391,391,391,391,391,391,391,392,392,392,391,392,392,392,392,392,392,392,392,392,392,393,392,392,392,393,392,393,392,392,392,393,392,392,392,392,393,392,392,393,392,393,393,392,393,393,392,392,393,393,393,392,393,392,392,391,392,392,393,393,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,393,393,392,392,392,392,392,392,392,392,392,392,392,393,393,392,392,392,392,392,391,392,392,392,392,391,392,391,392,391,391,391,391,391,391,391,391,391,392,391,390,390,390,391,390,391,391,390,391,391,391,391,391,391,390,390,390,391,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,391,390,389,390,390,389,390,390,391,391,391,390,390,391,391,390,390,391,391,390,391,390,391,391,391,390,391,390,390,390,391,391,391,391,391,391,390,391,391,391,390,390,390,391,389,389,390,390,390,391,390,391,390,391,391,391,391,391,391,392	c
401,404,407,414,422,424,382,415,429,411,412,418,423,436,440,457,462,471,478,455,437,432,428,423,420,376,357,360,373,397,412,417,413,403,393,388,385,386,388,391,392,388,387,402,400,399,395,393,393,391,391,390,389,389,388,389,389,389,388,388,389,389,389,389,390,389,389,390,390,388,389,389,389,389,389,390,389,390,389,389,389,389,389,389,388,389,389,389,389,389,388,388,389,389,389,389,389,389,389,389,389,389,390,389,389,389,390,389,390,389,390,390,391,391,390,391,391,391,391,391,391,390,390,390,390,390,391,390,390,391,390,391,391,391,391,390,391,391,391,391,391,391,390,391,391,391,391,391,391,391,391,391,391,391,391,391,391,392,391,391,392,391,391,391,391,391,391,392,391,392,391,391,391,391,391,391,391,391,392,391,391,391,392,392,392,391,391,392,393,392,391,391,391,392,392,391,391,391,391,391,391,391,391,391,391,391,391,391,391,390,390,391,390,391,391,390,391,391,390,390,389,390,390,390,390,390,390,389,389,389,390,390,390,390,390,390,391,390,391,390,390,390,390,390,390,390,390,390,390,390,390,391,390,390,390,390,390,390,390,390,390,390,390,391,390,390,390,389,390,390,391,390,390,390,390,391,391,391,391,391,391,390,391,391,391,391,391,391,391,391,390,390,391,391,391,392,391,390,391,391,391,392,391,391,391,391,391,392,393,392,392,392,392,392,393,392,393,392,393,392,393,393,393,393,392,392,392,391,392,393,391,391,391,391,391,391,391,390,391,391,392,392,391,392,392,392,392,392,392,391,392,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,390,390,390,389,391,391,391,391,391,390,391,390,391,391,391,390,390,390,390,390,390,390,390,390,389,390,390,390,390,390,391,390,391,391,390,390,390,390,390,390,390,390,391,391,390,390,390,391,390,390,390,391,391,390,390,391,390,390,390,389,389,390,391,390,390,391,391,391,391,392,392,391,392,391,390,392,392,392,391,391,392,391,391,391,391,392,391,391,391,391,392,391,391,392,391,391,391,391,391,391,391,391,391,391,391,391,391,392,391,391,392,391,391,391,392,391,392,392,392,392,392,392,392,392,392,391,391,392,392,391,391,390,390,391,391,391,391,391,390,390,390,390,390,390,390,390,389,389,390,390,390,390,391,390,391,391,391,391,390,390,391,390,390,391,391,391,391,391,391,391,391,391,391,390,391,390,390,390,389,389,389,390,389,389,389,389,389,391,391,391,390,391,391,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,389,390,390,391,390,390,390,390,390,390,390,390,390,390,390,390,390,389,390,390,390,390	t
